                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.86689,                0.65058,                 1.0193,                0.74757,                0.72464,                0.75345,                0.36452,                 1.6464,                 1.2351,                 1.4933,              0.0002576,              0.0002576,              0.0002576
                     91,                0.86243,                0.59782,                 1.0058,                0.76664,                0.73799,                 0.7547,                0.35757,                 1.6555,                 1.2581,                 1.5289,              0.0002378,              0.0002378,              0.0002378
                     92,                0.84649,                  0.561,                0.99329,                0.77327,                 0.7029,                 0.7573,                0.35629,                  1.681,                 1.2476,                 1.5336,               0.000218,               0.000218,               0.000218
                     93,                0.80606,                0.53562,                0.98403,                0.77008,                0.71739,                0.74919,                0.35738,                  1.683,                 1.2464,                 1.5543,              0.0001982,              0.0001982,              0.0001982
                     94,                0.79597,                0.53081,                0.97443,                0.74592,                0.72464,                0.75931,                0.37119,                 1.6675,                 1.2994,                 1.5347,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.7935,                0.52903,                0.97021,                0.74437,                0.73852,                0.75726,                0.38348,                 1.6351,                 1.2456,                 1.5087,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.8033,                 0.5373,                0.97782,                0.78157,                 0.7029,                0.75543,                0.38368,                 1.6451,                 1.2046,                  1.534,              0.0001388,              0.0001388,              0.0001388
                     97,                0.77202,                 0.5202,                0.96567,                0.79132,                0.68841,                0.74961,                0.37745,                 1.6277,                  1.195,                 1.5141,               0.000119,               0.000119,               0.000119
                     98,                0.75872,                0.50904,                0.95006,                0.78821,                0.69565,                0.75381,                 0.3846,                 1.6136,                 1.1766,                 1.5064,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.76189,                0.52121,                0.96573,                0.74978,                0.73827,                 0.7571,                 0.3851,                 1.6212,                 1.1658,                 1.5135,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 0.7589,                0.51675,                0.96309,                 0.8171,                 0.7029,                 0.7611,                0.37525,                 1.6228,                 1.2091,                 1.5142,               5.96e-05,               5.96e-05,               5.96e-05
